date,city,temperature_C,wind_speed_km_h,solar_radiation_W_m2
2019-01-01 00:00:00,Yaoundé,25.65,16.71,513.07
2019-01-02 00:00:00,Yaoundé,31.91,4.99,583.69
2019-01-03 00:00:00,Yaoundé,24.2,11.6,200.72
2019-01-04 00:00:00,Yaoundé,23.93,14.08,780.81
2019-01-05 00:00:00,Yaoundé,21.92,0.94,417.76
2019-01-06 00:00:00,Yaoundé,21.71,3.4,143.46
2019-01-07 00:00:00,Yaoundé,27.26,10,741.89
2019-01-08 00:00:00,Yaoundé,31.18,11.05,563.5
2019-01-09 00:00:00,Yaoundé,23.82,11.22,359.44
2019-01-10 00:00:00,Yaoundé,24.29,9.47,267.82
2019-01-11 00:00:00,Yaoundé,29.87,1.09,322
2019-01-12 00:00:00,Yaoundé,20.85,4.7,150.05
2019-01-13 00:00:00,Yaoundé,31.28,6.15,848.19
2019-01-14 00:00:00,Yaoundé,23.6,2.67,439.53
2019-01-15 00:00:00,Yaoundé,34.01,3.57,399.26
2019-01-16 00:00:00,Yaoundé,21.65,12.47,688.52
2019-01-17 00:00:00,Yaoundé,22.45,0.08,903.34
2019-01-18 00:00:00,Yaoundé,29.55,10.36,542.72
2019-01-19 00:00:00,Yaoundé,25.81,16.96,379.52
2019-01-20 00:00:00,Yaoundé,31.15,2.01,336.81
2019-01-21 00:00:00,Yaoundé,24.63,10.07,591.82
2019-01-22 00:00:00,Yaoundé,34.23,0.37,417.46
2019-01-23 00:00:00,Yaoundé,26.36,2,220.35
2019-01-24 00:00:00,Yaoundé,26.4,2.63,330.53
2019-01-25 00:00:00,Yaoundé,30.79,3.94,254.2
2019-01-26 00:00:00,Yaoundé,30.31,6.86,307.53
2019-01-27 00:00:00,Yaoundé,30.9,6.72,769.31
2019-01-28 00:00:00,Yaoundé,34.18,7.84,345.26
2019-01-29 00:00:00,Yaoundé,28.91,6.02,149.81
2019-01-30 00:00:00,Yaoundé,32.83,6.3,716.03
2019-01-31 00:00:00,Yaoundé,30.1,15.18,475.63
2019-02-01 00:00:00,Yaoundé,34.88,13.31,962.77
2019-02-02 00:00:00,Yaoundé,33.46,5.2,276.08
2019-02-03 00:00:00,Yaoundé,34.13,17.54,931.72
2019-02-04 00:00:00,Yaoundé,21.13,15.87,683.76
2019-02-05 00:00:00,Yaoundé,23.36,7.94,859.76
2019-02-06 00:00:00,Yaoundé,30.77,7.82,694.47
2019-02-07 00:00:00,Yaoundé,20.07,16.57,432.27
2019-02-08 00:00:00,Yaoundé,27.88,9.87,118.24
2019-02-09 00:00:00,Yaoundé,25.94,14.65,871.85
2019-02-10 00:00:00,Yaoundé,26.59,13.62,482.32
2019-02-11 00:00:00,Yaoundé,25.37,5.24,513.32
2019-02-12 00:00:00,Yaoundé,27.89,8.05,953.44
2019-02-13 00:00:00,Yaoundé,23.26,14.2,166.11
2019-02-14 00:00:00,Yaoundé,34.29,1.78,850.92
2019-02-15 00:00:00,Yaoundé,28.08,9.54,478.01
2019-02-16 00:00:00,Yaoundé,24.44,17.36,672.69
2019-02-17 00:00:00,Yaoundé,26.91,0.3,311.59
2019-02-18 00:00:00,Yaoundé,29.61,2.05,943.07
2019-02-19 00:00:00,Yaoundé,33.54,5.08,106.2
2019-02-20 00:00:00,Yaoundé,21.74,11.81,700.6
2019-02-21 00:00:00,Yaoundé,31.26,15.15,628.67
2019-02-22 00:00:00,Yaoundé,31.24,15.89,785.01
2019-02-23 00:00:00,Yaoundé,31.59,9.12,242.02
2019-02-24 00:00:00,Yaoundé,27.22,1.43,652.08
2019-02-25 00:00:00,Yaoundé,21.03,17.17,325.96
2019-02-26 00:00:00,Yaoundé,25.63,17.63,350.06
2019-02-27 00:00:00,Yaoundé,22.76,8.91,454.22
2019-02-28 00:00:00,Yaoundé,23.87,8.46,336.61
2019-03-01 00:00:00,Yaoundé,21.73,1.68,962.44
2019-03-02 00:00:00,Yaoundé,22.89,3.43,947.15
2019-03-03 00:00:00,Yaoundé,26.68,19.56,712.1
2019-03-04 00:00:00,Yaoundé,31.11,9.68,109.1
2019-03-05 00:00:00,Yaoundé,24.4,7.65,984.1
2019-03-06 00:00:00,Yaoundé,34.33,17.51,956.82
2019-03-07 00:00:00,Yaoundé,23.94,8.92,463.99
2019-03-08 00:00:00,Yaoundé,30.58,16.31,386.83
2019-03-09 00:00:00,Yaoundé,22.36,1.82,121
2019-03-10 00:00:00,Yaoundé,24.04,7.19,833.28
2019-03-11 00:00:00,Yaoundé,27.69,17.16,380.37
2019-03-12 00:00:00,Yaoundé,34.59,5.17,840.89
2019-03-13 00:00:00,Yaoundé,26.65,2.08,723.7
2019-03-14 00:00:00,Yaoundé,29.29,12.98,122.37
2019-03-15 00:00:00,Yaoundé,30.43,3.93,336.93
2019-03-16 00:00:00,Yaoundé,34.28,8.39,537.16
2019-03-17 00:00:00,Yaoundé,29.67,1.37,101.82
2019-03-18 00:00:00,Yaoundé,26.19,7.73,233.1
2019-03-19 00:00:00,Yaoundé,25.34,4.25,993.03
2019-03-20 00:00:00,Yaoundé,33.03,0.02,519.4
2019-03-21 00:00:00,Yaoundé,23.91,1.05,273.43
